dyu,fr,dyu_len,fr_len
nin yɛlɛmani ni ba yira ko bɛɛ ya cɔrɔ joona joona,l’amendement vise donc à les clarifier rapidement,50,49
kuma ni bi jil diton le bolo walima ka dɛmɛ kɛ yɛlɛmani nimoro kɛmɛ ani biduru ani wolonfila,la parole est à monsieur gilles lurton pour soutenir l’amendement numéro cent cinquantesept,92,91
kuma nin bi sitanisilas gereni bolo ra walima ka dɛmɛ kɛ yɛlɛmani nimero kɛmɛ nani ani bikɔnɔntɔn ani saba,la parole est à monsieur stanislas guerini pour soutenir l’amendement numéro quatre cent quatrevingttreize,106,106
koni tun kaɲi ka kɛ yan le,ce devait être là laffaire,26,26
bara sira tama kelé tou ma boyan,un du code du travail n’a pas été respecté,32,42
kouma ni bi thierry benois lo bolo,la parole est à monsieur thierry benoit pour soutenir l’amendement numéro huit cent quarantetrois,34,97
sira wolonfila,sept cent sept rue pierre dubreuil,14,34
n ye lu miw kalan n lanaya bé yi n dencɛ fɛ,les ménages que je pus étudier me rendirent fière de monsieur mendez,43,68
dugumani dɔ tun bi yi min tun yi finman ye kom nin dugu nin ta,il y avait làbas des fourmis qui nétaient pas aussi noires que celles de ce paysci,62,82
gwɛlɛya ka flɛru,une rose dans la misère,16,24
nigɛ tɛmɛni kaɲan kelen ka bɔ tan ni duuru la,une heure moins le quart…,45,25
o fouroula a mèna,ils sont depuis mariés,17,22
aba kèra komi a bi dimi,elle sembla le craindre,23,23
wolo wɛrɛw bi na tugu,d’autres naissances suivront,21,28
ɔn ɔn a walawala,non de la précision,16,19
barakɛla ka barakɛ yɔrɔ,un cabinet d’entrepreneur,23,25
n mini tulokɛ minan nin ɲɔgɔn ye n kaso,j’ai le même jeu à la maison,39,28
a tagara a ka segi yɔrɔla,il remonte vers son panier,25,26
n ba bɛta n yɛrɛ kan,je prends tout sur moi…,20,23
i makoɲɛ bara wa,tu as besoin de lui ,16,20
o yi beeni ko fɔ n ɲanan,on m’a parlé de faillite,24,25
ne togô yé marie,je mappelle mary,16,16
i bamuso man djan,ta mère n’est pas grande,17,24
ɛlvir den cɛjuguni,elvire parut laide,18,18
wulumuso mugan ni kelen,vingt et une chiennes,23,21
o lɔn nin lo,ils sont extrèmement connus,12,27
ayi a ka ɲi yɛlɛko bi n na,non merci… j’ai le rire,26,23
a kelen tɛ,ah c’est différent,10,18
o sɔnni lo nan ye,ils sont daccord avec nous,17,26
an tun be yi nin wagati na,on était à cette heurelà,26,27
a bi ɲanagɛra,il est de précision,13,19
sapɛldeni ani cɛɲumani,une petite chapelle et jolie,22,28
a yɛrɛ bɛɛ kisira,tout son être ressuscita,17,24
a yi ta la,allez donc vous coucher,10,23
fɛndeni,un petit morceau,7,16
n bi tulon le kɛra foyi ma fara a kan,je fais une blague sans plus,37,28
nin ye mufɛn le ye ten ,qu’est que c’est que ça ,23,24
a ka kanu ɔhɔn,votre amant oui,14,15
izidɔr ale ni filomɛn ɔhɔn,isidore et philomèle — non ,26,27
hun talon,c’est les virer,9,15
a kɔrɔyala otris dugura,elle grandit en autriche,23,24
a cɛkaɲi dɛ,cest vraiment beau,11,18
ka falen nin ka yɛrɛsɔrɔ ye,en échange de ma liberté,27,24
yiri môgô ni,une statue en bois,12,18
ayi da yèlè wa,vous avez ouvert la porte ,14,26
sini ka wagati ni binakɛ cogodi le,comment sera le temps demain ,34,29
fau ka dugu,la ville du faou,11,16
fanga bara dɛ,comme il est fort ,13,18
n yɛlɛra sira kɔgɔman kan,jai roulé sur sa tortue,25,23
gɛlɛya ba be yi tuguni,il y a plus pénible encore,22,26
bissaba ani kelé,trente et un livres noirs,16,25
nin bi yɛlɛko ten,cela est marrant,17,16
ahou tahou lo,c’est les tiennes,13,17
aw lanitɛ ara,vous n’y croyez pas,13,19
ahou be barakè atilo,vous travaillerez le dimanche,20,29
nɛnɛ bé yi,il ne fait pas froid ,10,21
ni wagati be yi a kaɲ,s’il y a le temps c’est bien,21,28
n bi taga kalan so,je vais à l’école,18,17
onhon ale lo,oui tout à fait,12,15
a bi dɔ le kɔnɔ na,vous attendez donc quelqu’un ,18,29
a ya suma fo san fɛ,il mesure jusquà de haut,19,24
an tun ye fatɔ baw le ye,nous étions de grands fous,24,26
n bi n yɛrɛ yira cogo di,comment se présenter ,24,21
abina a yèrèma,mais il y vient de luimême,14,26
a koun ya kissi,il lavait certainement sauvé,15,28
ka sɔrɔ o te ɲɔgɔn weele,mais il ne s’appelle pas…,24,25
haa ne teri gwɛlɛn,ah ce brave ami ,18,16
demi sin bi aw fè wa,vous avez des enfants ,20,22
nunu yi mun le ye,c’est quoi ceuxlà ,17,18
sira nin ka jan,le chemin est plutôt long,15,25
a fɔn na a ka jago ra,il fut un échec commercial,21,26
aka wolo lo na ka saya loo chi ma lon folo,ni sa date de naissance ni sa date de décès ne sont formellement connues,42,72
a ye sɛn kelen nan kɛ nan n dusu cɛna an ma see ka nunu ɲinigali nunuw jaabi,encore une fois je suis navrée que vous ne puissiez pas répondre à ces questions,76,80
viki ka sira biwɔɔrɔ ani wɔɔrɔ gansan ani saaba kɛmɛ ani wolonfila baleri ka sira kan,soixantesix avenue de vichy zéro trois sept cents à bellerivesurallier,85,70
sira min ma se kaɲɛ min bi jigi joona o le ye ɲihɛni ye,la voie délimination quasi exclusive est lurine,55,47
i maɲi ka,il ne faudrait pas,9,18
a bi fè ka fo ka kèra ka ban,puisque c’est fait je retire l’amendement,28,41
môgô nounou bè kagni ka sira sôrô,de plus ces équipements devaient être accessibles à tous les citoyens,33,69
ni yiri ni fana tigè ni lo,oui mais les plantations ont été dévastées,26,42
u tu nanā sigilan kun te u fɛ,elles étaient venues sans aucune chaise,29,39
a ka silidaga jii ban fɛ,on lui doit leau de goulard,24,27
henri naani bi jeninan ka tɔ ka kɛlɛ,henri quatre brûlait de combattre,36,33
obi ta râ rectum kôrô,très active sur les réseaux elle est aussi présente sur instagram facebook twitter,21,82
n ma nin di dominic tiancɛ fɛ walema ka yɛlɛmani bolo nimɔrɔ kɛmɛ saaba an ni biwɔrɔ ni kɔnɔtɔn,la parole est à monsieur dominique tian pour soutenir l’amendement numéro trois cent soixanteneuf,95,97
ni ko yi dêmê soro,ces amendements sont défendus,18,29
min ma maga mɔgɔra muso,le plus ordinairement mrs,23,25
sioliyɛ ani dogapil la dugu nunu tugu nin lo ɲɔgɔn na ni tirɛn sira lo ye,la ville est reliée par chemin de fer à šiauliai et daugavpils,73,62
kè gnoyma ya ale ni djona djona,élégance et rapidité,31,20
a toun bi fè ka gna la akan,il voulut néanmoins faire de sa fille élisabeth son héritière,27,61
ni kalan sè bè ni lo kadi ka tèmè a bè kan,voici une œuvre qui me plait plus qu’aucune autre,42,49
a lora ka mê,il hésita longuement,12,20
a sara sra sababou lo râ,il meurt dans un accident de la route près de gotha,24,51
mogô kakan ki yèrè ma djigui,jy mettais mon fils en pénitence,28,32
ko min beyi yan fo ka ban,je lai déjà exprimée ici lan passé,25,34
iya fo oyé wa,estce que je leur ai dit …,13,26
an sigi gnongon bina tô laban,les ordinateurs soccupent du reste,29,34
n bi na banba ka jaabini sɔrɔ,je souhaiterais avoir la réponse,29,32
damien ka sira biduru ni duuru ani kɛmɛ fila tɛntɛn segira,cinquantecinq rue damiens zéro deux cent à saintquentin,58,55
sisan a bi kɛdi,alors comment faire,15,19
o bi sée fana ka dan ni kolo fɛnw ye,elles peuvent également être produites par des végétaux,36,55
ka to bara la moini kelen ale,en ferait un moine lui…,29,23
min tun bi ne jɔɔrɔ o ye tigɛri min kɛra,ce qui m’intriguait c’était cette coupure bien nette à la base,40,62
nin dugu nin kaɲi ka petrɔli ale ni esansi ta dugu wɛrɛ la,le pays doit néanmoins importer du fioul lourd et de lessence,58,61
nin yɛlɛmani nin bina na gwɛlɛya fara o bla cogo ra,cet amendement viendrait ajouter une complexité au dispositif,51,61
iba bamuso fɛn cɛɲumani ye iba facɛ a yi tulogɛlɛyaba dɔ le ye,mère ubu oh voilà du joli père ubu vous estes un fort grand voyou,62,65
nin dugu ni tɔgɔ lanino ten a ka cɔgoya kalgɔr de,le village est nommé ainsi daprès sa position sur la rivière à la truite,49,72
san tan an bi lafiɲɛnna yɛlɛkokow ra,puis dix ans nous nous reposions au sein des drames romantiques,36,63
ko nogôma lo,des light novels et jeux vidéo voient également le jour,12,55
sira tchama lo,voici cette lettre «monsieur charpentier dixneuf rue de lille,14,61
an kagni ka donkè bi,michel alexandre est également réalisateur de courtsmétrages et de clips,20,72
a toum yé mousso kelé dron lo fourou,il était le fils unique de geneviève et de rené deloux,36,54
alé talo yi famou ya li bali yé,cest pour lui une totale incompréhension,31,40
fè mi bè kèra a bi yè,les travaux réalisés pour ce projet seront repris par d’autres,21,62
ni nousson dia loni,la fête … vous l’avez déjà souhaitée hier,19,41
unm bena escalier kan,je suis tombé dans les escaliers,21,32
o fila bè yi o da djé,tous deux se considérèrent en silence,21,37
françois le yi sissan ka dougou tigi yé,le chef de village actuel est françois ngueyera,39,47
ayé yamongofen do un toum bi fè ka fô ayé,voilà monsieur le député un fait que je vous signale,41,55
a ka fari kodjouhou,douce elle a mon caractère elle est violente,19,44
jean donald landry ka sira,treize rue jean donat leandri vingt cent dix propriano,26,54
bara bi daminè nane ma labè,les affaires reprennent je ne suis pas trop rouillé,27,51
yèlè ko kora a kouma na,dans les comics elle est la tante de sharon carter,23,50
kalan fa nounou lo,les enseignantschercheurs sont des fonctionnaires jouissant de libertés particulières,18,85
kèlê ni kèra stalingrad,elle fut formée trois fois dans les différentes phases de la bataille de stalingrad,23,83
o ma karaba fôkô,je nai pas encore été contrainte à manger quelque chose de mes compagnons dinfortune,16,84
koni gèlèyara,le poème de lamprecht nous est parvenu par trois manuscrits,13,59
minuti djoli lo,quelque vingt heures dans la malleposte ne sont pas pour larrêter,15,65
gnongon yé yôrô doron lo,seule subsiste la chapelle attenante qui ne fut pas touchée,24,59
anga yamôgô bi kèlè kè lahou tôrô,j’ajoute que le gouvernement maltraite également les anciens combattants,33,72
sirabada jyan lozano koɲak,rue juan lozano cognac,26,22
sarl mosɛl ye a ka bara yɔrɔ sans n ga a yɛrɛ ya ka bara yɔrɔ been,amenant sa société en déficit charles michel se trouve obligé de la vendre,66,74
toni wud mandimi na maci nin na o ya ramplase ni zowe modi ye,tony woodcock blessé lors du match face aux tonga est remplacé par joe moody,61,76
mɔgɔdɔ be yi bon ɲɛfɛ o ye sɛni ni kupe,la scène est entrecoupée par un groupe de personnes qui s’amusent devant un bâtiment,39,84
siraba den fila pol meris biwolonfila ni duuru zero mugan pari ,deux rue paul meurice soixantequinze zéro vingt à paris,63,55
a bi toi ka ribbiki a ni spɔr mekanik le filɛ,il aime regarder le rugby le ski et les sports mécaniques,45,57
sid sigi ni lo sid la,le territoire de la commune de cize est situé plus au sud,21,57
eksiduwar ka amo min bi mɔntrɛm ,hameau dexcidoire à montrem,32,27
sira caman bé yi o bi se ka ta,il y a pas mal de circuits à exploiter,30,38
a yi don gandi ka kongrɛ du parti la,il rejoint le parti du congrès de gandhi,36,40
a toumbi ko ni yayini nan,alva myrdal participe activement à la conception du bâtiment qui comprend deux niveaux,25,86
oyi fensôrô,la coalition anglonéerlandaise a également remporté un certain succès,11,69
tan ni konon ton sira bâ kelé,dixneuf boulevard gustave roch quarantequatre zéro zéro zéro à nantes,29,69
opozisiyon ya fɔ kan ka miliyar tan ni saba bɔ gwaso ra,l’opposition dit que nous prélevons treize milliards sur les ménages,55,68
tulu foyi kun ti nin na,il ny avait là nulle apparence de bravade,23,41
nin kɛra jaa gɛlɛya ye dɛ,cela me semble curieux,25,22
a tun bi a fɛ ka kɛ na ka densɛ ye wakati damani na,voulaitelle profiter un peu de son gamin,51,40
biwolonfila bi sɔrɔ sirana madina na,soixantetreize rue madinina quatrevingtdixsept deux cents à fortdefrance,36,72
mɛ kalo tle seegi ka pilasi karannisɛnki,un place du huit mai quarantecinq,40,33
yorô yongon bi yan,un pareil milieu divertit bouvard,18,33
a tounkèra ina fô humm,gonzález semble dabord décroché mais parvient à réagir et réussit à stabiliser cet écart,22,88
an bi bara kè low bè,différents types de drague sont utilisés selon les conditions rencontrées,20,73
kibarou ni fora dnama yé,la fatale nouvelle est confirmée en grande partie en moins,24,58
a kana tôgô tien a magni,il se réfugie pendant sept mois à rolle aux limites de son ancien diocèse,24,73
pɔl le tun ye saribɔn bɔn yɔrɔ ka ɲamɔgɔ ye,paul était surintendant des mines de charbon,43,44
irene min be liyɔn binana kuma walisa a bi kumacaamacaama nin dabila,irénée de lyon interviendra pour empêcher cette excommunication massive,68,71
mɛtri wabiwɔrɔ ni kɛmɛ ni bisaba lo bi hanri riyan ni wavini ka sira cɛ,rue reant henri soixante mille cent trente wavignies,71,52
a ya tɔgɔ sɔrɔ puwo ka tasumaji dara,on retrouve son nom dans celui de la bouche volcanique puʻu ʻōʻō,36,64
koyɔrɔdeni bi bɛgɛnbaloyɔrɔ nin na,il y a une aire de piquenique dans le parc,34,42
nga a bi kun dimi di n ma tama ten,ben oui mais ça me donne le vertige à moi de marcher comme ça ,34,62
a dencɛ alɛksi mɔlsanɔv fana bi tari kɛra apne ra,son fils alexey molchanov est aussi un concurrent de premier plan de lapnée,49,75
fla jɛnkulu bi tamana ko kɔ di zan brɛbɛr ma ale ni o bi o ɲɛn sinna mamɛs ka yɔrɔla,les troupes berbères marchent contre jean troglita et campent dans la plaine de mammès,84,86
a ye sɛbɛ minuw sɛbɛ o den saba bɛɛ sera anu fɛ,trois manuscrits de sa chronique sont arrivés jusqu’à nous,47,58
o yi sɔsɔrili min kɛ nin kɛra sɔsɔrili ɲanaman ye,la critique en fut particulièrement élogieuse,49,45
a tun mankan ka yɛrɛ yira manus ,sa présence à manus est une erreur,32,34
an bi se ka sɔrɔ fana alpo pirene walima olu fana,on peut aussi le trouver dans les alpes les pyrénées à partir de environ,49,72
a bi rozehil dugu ni foniks dugu ɲɔgɔncɛ,elle est située entre les villes de rosehill et de phoenix,40,58
fɛn dɔ bi n ten na a bi n wagasira,jai quelque chose qui me presse le front une migraine,34,53
ɲanmɔgɔden nin banna kokarde gɛman nin na,limbécile ne voulut pas de la cocarde blanche,41,45
nimero mugan ni kɔnɔntɔn aviyɔndeni nin na,vingtneuf impasse de la laviation,42,33
o ka ko nin ɲɛtaga ma jaɲan,la démarche manquait de profondeur,27,34
a fɔlɔ min tun bi ni bolora oluw tun ye jina lɔgɔw ta le ye,la première au nord était réservée aux religieux,59,48
mouga ni kononton sira ba,vingtneuf c rue des champs pacaud cinquantehuit zéro zéro zéro à nevers,25,71
a kèra o dentchè yé,il sagit de leur au foster farm bowl,19,36
aya bolo la ka digi,sur lépaule domer il appuyait une vieille main pesante,19,54
village denn chegi bi dougou konon,la commune regroupe huit villages,34,33
djamanan den ka kan ka noussondia,un peuple vous doit le bonheur dêtre libre,33,42
dougou déni min bi yan feyi o yorô lo,commune située au centre de la vendée dans la périphérie de la rochesuryon,37,74
ni ziri ni fani bè ni kaba ko yé,cest une histoire remplie de drame et de secrets de famille,32,59
djinkoulou li yi sira min tayannanman lo,la position prise par la commission nous semble plus justifiée,40,62
a toumbi pèrin pèrin bè kouna,ils ramassaient tout ce que le coin comptait de psychopathes et de tordus,29,73
église kelé lo bi benni konon,lunion compte une église catholique léglise saintjeanbaptiste,29,61
djinkoulou ni ko di,quel est l’avis de la commission la commission n’a pas examiné cet amendement,19,77
son ni toumbi bô fanfaron a ni brayar,la rue sencombrait de fanfarons et de braillards,37,48
metri wa bi na ni lo bi oni yongon tchè,rue dubrulle soixantedeux mille huit cent soixantedix douriez,39,61
aya ka marfa bi la ka sigi,lâchant son arme il sassit geignit,26,34
radio bon lo,delta radio est la deuxième radio privée à pouvoir émettre dans le schleswigholstein,12,84
a bi na kèdi do,treize rue bodinier quaranteneuf zéro zéro zéro à angers,15,56
liqueur bi a bolo dow,sur cette table un service à liqueurs,21,37
yôrô toun kagni kossbè,lambiance y est celle dune maison de collectionneur,22,51
ayi a mè kossèbè,je vous prie pour ma règle de me donner une instruction détaillée,16,65
nin ye deen misɛnni wɔɔrɔ yɔ,elle est la cinquième dune famille igbo de six enfants,28,54
n sɔn na ka ka sin ala ma,jaccorde que ce soit vers dieu,25,30
alu lo wa n balimancɛ criso nawɔn yi ɲiniganin kɛ te na bi filɛni kɛra wo minsɛnw fɛ,c’esty vous monsieur cruchot demanda nanon en regardant par la petite grille,84,76
kama sôro o bôra algérie,cependant aujourdhui la plupart des turcs algériens parlent la langue arabe,24,75
siga ta râ obi fania tigê là,sans doute… je suis extrêmement flatté mais…,28,44
san bèra mogo bi sa dousou koun dimi nôfè,tous les ans il mourait une fille ou un garçon malade de la poitrine,41,68
a bi tara djona a ka so konon,il progresse à vive allure en tant que musicien,29,47
a kèra komi patric bi hema ya ga mi na,emma semble troublée par patrick et cest réciproque,38,51
kreɔn ka sira ka taga sireani,allée de creno à furiani,29,24
olu mandimi na kelen yɛrɛ ta ka jugu,ces derniers sont blessés dont un grièvement,36,44
alabatoso ba nɔtre dame des hɔngruwa de szɛgde lo yi diyocɛz ka katedrale ye,léglise notredame des hongrois de szeged est la cathédrale du diocèse,76,69
n tun ya fɔ a ye jonajona ka kana sɔn o ma,je l’avais rapidement déconseillé,42,33
a bi komi i na fɔ a ka kalan kɛ,taruffi étudiera ensuite un engin tricorps,31,42
o yo ka marfaw don o kun,ils empoignèrent leurs fusils,24,29
sɛrpir lo yi duguba ye,la ville principale est sherpur,22,31
walima an bɛ bi sɔn a la dilanni ma,or nous sommes tout à fait favorables à sa création,35,51
o toum bena môgô wou kan,ils remboursent aussi les victimes – monsieur le garde des sceaux l’a souligné,24,78
dougou deni min sigira sen kan,la commune créée prend alors le nom de jullouville,30,50
a ni bombay djanyan bi di,à quelle distance estil de bombay ,25,34
alé fana lo siga tara,cest encore le plus sûr et le plus court,21,40
fila bourou ban akili djigi yessou kô,le dimanche des rameaux célèbre lentrée triomphale de jésuschrist à jérusalem,37,77
ata lon wagati minna koni kèra,on ne sait pas quand la différenciation avec lâne et le zèbre sest faite,30,72
nounou yi tardi ta loyé,les dessins sont de tardi,23,25
mɔgɔ tan ni kelen,un vingtetunième,17,16
i ni sɔ,bonjou bonjou belle dame,7,24
a tun bi kɛlɛkɛ yɔrɔra,il revenait de la guerre,22,24
siraba mɔris rontɛn mezɛn,rue maurice rontin mézin,25,24
komte sigini do pawne,le siège du comté est pawnee,21,28
bɛgɛn wɛrɛ nɛrɛmuguman,un autre animal jaune,22,21
buda lo a cɛkaɲ,très joli… un bouddha,15,21
cɛ na muso bi na musomani naani sɔrɔ,le couple aura quatre filles,36,28
bɛgɛ wɛrɛn janmanjan,dautres grands animaux,20,22
kami tun mankɛnɛ wa,camille seraitelle malade …,19,27
anri donna bonba ni kɔnɔ,henri entrant dans la salle,24,27
a be na juma fɔ ne ye,et lequel me direzvous ,21,23
arjina tun fin ni lo,le ciel était sombre,20,20
siraba tin sɔsɛr,rue thine schœlcher,16,19
n bina a yala ka di aw ma,je vous chercherai ça …,25,23
bisɛnval ka oskar,monsieur oscar de buzenval,17,26
ɛrmɛd kelen hakili ba la,seule airmed sen souvient,24,25
dɔktɔrɔ ge siraba min be andvil ,rue du docteur gey à andeville,32,30
siraba andre fose min bi langurla ,rue andré fauchet à langourla,34,29
a ta ni do elvige,mais le vôtre elvire,17,20
ah doussou kadi,ah vous êtes heureux ,15,22
wakati sera,il est cinq heures,11,18
ani wakati fila,et de deux à cinq h,15,19
buru glan yɔrɔ,une boulangerie,14,15
mɔbili ka sira da ba bɛrtɛnkur,rue de bus bertincourt,30,22
a tununa ɲan ra,elle disparut de vue,15,20
ndôgô ni ka féti lo,c’est la fête de ma cousine,19,27
a dousou kadi gbananman,tressaillir de joie,23,19
a toun bi koulon kèra,ce n’était qu’une blague,21,24
no tɛ an ka ɲamɔgɔ bi min fɛ o bi na o walawala,sinon l’avis du gouvernement sera défavorable,47,45
i le lowa mu ne bira o ya ɲiniga ni kan majigini ye,dis cest toi questce que tu as demandatil à voix basse,51,54
siranyan tu bi n na ko kelen durkɔn tun ti na see o yɛrɛkɔrɔ,javais peur quils neussent pu se débrouiller seuls,60,50
brianbi anam faradugu kɔnɔ,briand est en annam à phanrang,26,30
a yi kɛlɛkɛ yɔrɔ nani yira an na min si ti keleen ye,il propose quatre styles de combats différents,52,46
n ga ne ɲate kokolon na ni na o,mais je ne vois pas de mal à cela…,31,34
nne dusukun ɲagami,jai dévasté mon cœur,18,20
a ka gnouma kagni,son importance est double,17,25
crayon woulé ma ti ne fè,je nai pas de crayon rouge,24,26
aka fissa an ka welé,il vaut mieux le rappeler,20,25
o yi yèlèmani dow koni nan,de nombreuses interventions ont ultérieurement modifié le bâtiment,26,66
aka nogô,puis après un premier mariage raté elle épouse kubokawa,8,55
a balkoura tènè lo,elle a été élevée à soberton dans le hampshire,18,46
fo yi to fɛ ka kɛ wa,ils sont donc sans objet,20,24
a tun jigini no n kɔnɔ,j’avais un prétexte,22,19
bon ni wagani bɛ,la maison est spacieuse,16,23
tumadɔ n bi sɛbɛrikɛ ka sama n facɛ ma,jécris souvent à mon père,38,25
ni o lo ko kɛta ɲuman lo kɛ,c’est donc un vrai sujet,27,24
sini n bi na taga gɛnka,jirai à guingamp demain,23,23
ko kaɲi wa,vous allez mieux ,10,17
tiɲɛna i bi yafa n ma,vraiment je suis désolé,21,23
a kulela kama sɔrɔ a ma wili,criatelle sans se lever,28,23
n ka kɛnɛ alu do,je vais bien et vous ,16,21
o bena karsa sababou la,vous êtes tombé dans la facilité,23,32
faransi kɔnɔtɛ a kɛra dɔɔni a bi kɛ i na fɔ faransi ta,pas en france nous ne sommes presque plus en france sara,54,56
kɔrnasak ka sira bi nimɔro mugan ni duuru nan na,route de cornassac au numéro vingtcinq,48,38
o yi nigɛ kuru bila jo nunu pilasira,les troncs ont ensuite été remplacés par des tubes en acier,36,59
sisan a yi a bana,là voilà cest fini et on na entendu que bibichon ,17,49
o kɔ a ya ɲa sin kogo sira ma,elle sest ensuite davantage orientée vers le chant,29,50
o le kɛra a kun bɛrɛ ye jama ɲinana kɔ,ce fut la principale cause de son oubli par le public,38,53
kozi bi na lon kɔfɛ ko izumi le ya ka kanu len fɔlɔ ye,koji saura plus tard quizumi est son premier amour,54,50
da yɛlɛla,la porte souvrit,9,16
a kɛra barinan ko ye,il se fit par miracle,20,21
a kanu ni no,il est aimé,12,11
a ka dɛnmisɛnw nin wagati kelen ni na o yo bamuso son ta,ses enfants pour une fois prennent modèle sur leur mère,56,55
a kana kari,ne cassons pas le mécanisme,11,27
gnataga gnouma lo,c’est une réelle avancée,17,24
a bi a contre la,tu es contre eux,16,16
ayé sigi a kè to bara,asseyezvous sil vous plait,21,26
houn toun lara a la,si je le croyais ,19,17
moulo kèra,estce cela qui s’est passé,10,26
olou mogo nounou tou yi nafolo tigi yé,ces gens étaient riches ,38,24
mina taba di a ma,je m’en offrirai une pipe,17,25
a ma se alé bè ma,ça ne vaut la peine,17,19
ni te sèbè ya yé,ce n’est pas sérieux,16,20
an lonni bè,nous sommes connus,11,18
an bina fèn wèra san,on tachètera un autre doudou,20,28
mogô bi yan minou bina daminè wa,il y a des débutants ,32,21
a tara doron a ya dadjé,sitôt parti sitôt aimé,23,25
hun labé ni tè,je ne suis pas prêt,14,19
a tounou na,ma valise sest perdue,11,21
a bi alé akili kelé,il est dans le même esprit,19,26
alé akili kelé lo,des petites gens,17,16
an bina djigè minè,hier elle pêchait,18,17
o yora ya kagni,puisquil fait beau,15,18
abi dia a yé,je suis sûr qu’elle aima,12,24
bidourou ni ele,cinquante et un,15,15
a ka gnitien lo,mais cest vrai,15,14
baou deri akan bara kè,je demande une suspension de séance de dix minutes,22,50
o nana fɔ n ye ko kɛra i na fɔ ne tun ba fɛ o ka kɛ cogo mina,ils mannonçaient quils étaient devenus tels que je les souhaite,61,63
bali ma mousso bèn ma sôrô wa,madame la secrétaire d’état le consensus n’est pas là,29,53
ya togô minè a ra,je lui ai emprunté son nom pour arriver près d’une danseuse… charmante ,17,71
poussière bi a yassi kan,ses fines paupières battirent,24,29
un balima mousso bâ lon,madame gaudin oui je sais …,23,27
bi min fo aya kè,faites ce que je vous dis,16,25
kouma bi stanislas bolo,la parole est à monsieur stanislas guerini,23,42
o koun bâ miri k bi bin gnimi,on pense quelles étaient herbivores,29,35
un teri koun lo,c’était mon ami,15,15
a toun bi koni kouma fô o ka kanou na,elle avait évoqué le sujet au début de leur relation,37,52
moulo bâ kè wagati ne a bi na,pourquoi vientelle toujours au mauvais moment,29,45
ta ko kelé,un bout,10,7
tome kelen paz kɛmɛ saba ni binani ni wɔrɔ,tome un page trois cent quarantesix,42,35
a kaɲi perezidan muso,favorable madame la présidente,21,30
foyi tun ti ɲafɛ foyi tun ti kɔfɛ,il n’y avait rien devant rien derrière,33,39
ɲafɛ mɔgɔ ba miri ko di o ba miri ka kaɲ,quel est l’avis du gouvernement le gouvernement est favorable,40,61
a ya fɔ ko di,et quatelle répondu,13,19
mousso ni ti fèka ta,elles ne veulent pas partir,20,27
mina doumouni kè o kosson kongo bi n na,je vais manger car jai faim,39,27
a ka bla,il n’a qu’à la lâcher,8,21
muna ne tun ti se ka kalankɛ sedɛn,pourquoi ne me futil pas possible d’étudier sedaine ,34,52
a man gwɛlɛ,c’est pas grave,11,15
mɔrwena ka bolo,le bras de morwena,15,18
a ba kɛ ɲanama,et vous faites bien ,14,20
luane,monsieur louarn,5,15
nne ma kuma fɔlɔ ban,je n’ai pas encore décidé,20,25
plafɔn ni bi mɛnɛna,le plafond sillumina,19,20
bɔgɔ ti sigilan ni kɔnɔ a,le siège est libre ,25,19
alain cee a ya ka sɛbɛ di minisiri fɔlɔ ma,dieu merci vous avez donné votre copie au premier ministre,42,58
mun na aw bi janto,pourquoi êtesvous préoccupé ,18,28
suad amidu ye amidu ka denmuso ye,souad amidou est la fille de lacteur amidou,33,43
mobili wɛrɛ yi n ka mobili bugɔ,ma voiture a été frappée par une autre voiture,31,46
o ka balimacɛ,leurs frères,13,12
marus ya ka sira ta tuguni,marius continua son chemin,26,26
ka na siran mɛtrɛs joe ka na siran,ne craignez rien mistress joliffe ne craignez rien,34,50
dusu kasi banw kɔnɔna dondonni,langoisse le vieillissait progressivement,30,41
monsieur gandema ka tour lo,monsieur et madame galimard galimard entre en appelant,27,54
hitler ka fanga tèmè naallemagne tina wari ni sara,après la prise de pouvoir de hitler lallemagne nazie ne remboursa pas ce montant,50,80
a ye kɔnɔ ni kɛ ka mɛ,vous avez attendu longtemps ,21,28
ɲɛgɛn sisi lo tasuma bé yi a,la toilette c’est la fumée y auraitil du feu ,28,45
i ba lon ki la bara nɔgɔman yala,tu sais que tu n’as pas choisi un métier facile,32,47
loran ka sira min be mantɛs,route de loron à manthes,27,24
a tɛmɛna a ma siran,elle ne fut toutefois pas inquiétée aprèsguerre,19,47
o bi yan jama wele monstan,ses habitants sont appelés les mossetans,26,40
mr guy ka kouma lo,la parole est à monsieur guy geoffroy,18,37
a toun bi nana a fè,cela venait vers lui,19,20
a ka jan kojugu,il est trop grand,15,17
sini sɔgɔma an yɔrɔ bɛna jan ɲa ferrare la,demain matin vous serez loin de ferrare,42,39
a ne ta kini bolo fè,il se dirige vers la droite,20,27
o ma seko yé,ils ne le purent apercevoir,12,27
bi yé tènè yé,aujourdhui cest lundi,13,21
ayi cravati gêman don,mettant sa cravate blanche,21,26
bara kè la wou yo yèrè fara yongon kan,les ouvriers se rassemblèrent,38,29
iyèrè korossi boli fen na,attention en conduisant,25,23
sebè binani ni kelé,quarante et une lettres,19,23
alou aba kalan,vous vous lirez,14,15
a toun be min,où avaitil été ,13,15
an ko toun kadi yongon yé,nous nous aimions,25,17
a ti yèlè bila ne la,je ne trouve pas ça drôle ,20,26
